UID,Top_1_JID,Top_1_Raiting,Top_10_Recomendations
11228,29,5.557133770938057,"[29, 100, 80, 72, 39, 78, 49, 73, 89, 81]"
21724,44,-0.14753679924465812,"[44, 35, 60, 50, 69, 49, 56, 8, 47, 82]"
16782,100,0.2420716758416649,"[100, 15, 31, 62, 56, 8, 37, 66, 45, 42]"
12105,80,8.296179550860384,"[80, 66, 73, 72, 93, 78, 89, 77, 34, 76]"
14427,30,8.531213303113349,"[30, 70, 90, 84, 97, 85, 95, 43, 64, 80]"
4436,32,-1.1160166202334532,"[32, 89, 86, 72, 94, 91, 93, 2, 78, 76]"
8311,92,3.757486639053954,"[92, 19, 49, 83, 82, 78, 99, 64, 45, 69]"
20915,15,1.842042128004639,"[15, 89, 5, 50, 93, 29, 96, 61, 42, 38]"
2392,72,2.512399704994095,"[72, 62, 42, 26, 89, 81, 66, 93, 83, 98]"
12458,22,2.651262486256053,"[22, 10, 85, 94, 72, 83, 78, 40, 35, 34]"
2092,50,6.675658424119449,"[50, 29, 38, 69, 89, 61, 48, 93, 97, 91]"
473,50,4.203975740424206,"[50, 89, 83, 84, 97, 93, 53, 82, 72, 81]"
24279,89,6.7952466951034,"[89, 32, 68, 50, 97, 88, 47, 91, 76, 96]"
5232,94,1.8670712765658453,"[94, 86, 89, 49, 96, 97, 47, 91, 82, 90]"
13992,27,5.159826906516639,"[27, 42, 72, 76, 34, 98, 39, 80, 87, 54]"
13100,35,2.3021522780544252,"[35, 89, 56, 72, 93, 83, 2, 76, 48, 97]"
20159,50,3.554600329977168,"[50, 53, 32, 65, 61, 98, 17, 89, 6, 47]"
22193,83,5.210183294187659,"[83, 98, 21, 72, 78, 14, 93, 100, 73, 77]"
9575,91,0.9356916572572989,"[91, 97, 95, 96, 72, 89, 88, 93, 10, 81]"
10762,50,9.24194297364763,"[50, 56, 11, 41, 98, 43, 7, 82, 10, 95]"
14921,50,2.413856068679708,"[50, 42, 72, 32, 75, 46, 73, 79, 28, 3]"
11055,27,1.9742369302247227,"[27, 5, 76, 21, 54, 73, 78, 81, 80, 85]"
11004,28,4.388471456600106,"[28, 62, 90, 78, 93, 77, 71, 95, 84, 82]"
24608,56,1.931684415875494,"[56, 36, 97, 100, 62, 84, 12, 85, 52, 79]"
10754,27,4.951270531526869,"[27, 89, 48, 21, 49, 29, 85, 72, 83, 61]"
12540,73,3.2748541189332787,"[73, 77, 76, 79, 92, 72, 80, 89, 50, 62]"
22191,36,2.7933383726498904,"[36, 49, 32, 54, 42, 21, 89, 76, 83, 98]"
17225,69,0.8658605473021074,"[69, 32, 56, 91, 86, 88, 96, 67, 61, 38]"
6598,29,5.30163335524399,"[29, 36, 35, 8, 49, 46, 10, 22, 3, 7]"
15066,73,6.059025226922479,"[73, 81, 5, 29, 89, 50, 14, 12, 20, 99]"
3420,48,5.391006549393759,"[48, 89, 32, 93, 96, 42, 76, 88, 72, 97]"
1060,89,3.7449957052936407,"[89, 68, 36, 72, 66, 97, 84, 96, 76, 88]"
23965,89,2.4362031885967976,"[89, 93, 88, 81, 72, 91, 96, 83, 23, 3]"
13787,72,2.9079867807380206,"[72, 49, 54, 32, 83, 56, 100, 86, 2, 77]"
9923,61,5.622740675309823,"[61, 27, 56, 11, 68, 21, 42, 38, 72, 52]"
11260,49,3.894865646724787,"[49, 65, 32, 46, 48, 64, 41, 97, 27, 60]"
7479,81,5.557143550557976,"[81, 29, 100, 50, 98, 83, 1, 72, 89, 91]"
14196,65,9.369317519497422,"[65, 54, 34, 73, 42, 89, 53, 85, 40, 48]"
6285,27,-0.3314033805639518,"[27, 76, 72, 31, 83, 98, 89, 87, 81, 80]"
15799,36,4.402212792713863,"[36, 93, 21, 90, 98, 97, 69, 95, 49, 33]"
22467,34,7.197596516531206,"[34, 42, 14, 29, 98, 66, 56, 85, 68, 32]"
21802,94,2.376010241216177,"[94, 86, 89, 97, 84, 91, 71, 82, 93, 90]"
20667,72,-3.8309322635787995,"[72, 83, 78, 52, 62, 5, 46, 91, 65, 21]"
6580,31,7.0900196001394775,"[31, 54, 32, 61, 89, 35, 100, 62, 66, 12]"
24088,21,6.735167424149434,"[21, 32, 35, 83, 27, 26, 89, 98, 28, 66]"
